Unnamed: 0,name,main_category,rating,reviews,categories,address,city,country,state,zipcode,broader_category,Weighted_Score,Weighted_Average,All_Cities,Category,City
2809,Crescent Park,Park,4.6,1473.0,Park,"Crescent Park, Crescent Park Trail, 2300 N Peters St, New Orleans, LA 70117",New-orleans,USA,LA,,Nature,6775.799999999999,4.61,"Asheville, Baton-rouge, Lafayette, Los-angeles, New-orleans, Shreveport",Park,New-Orleans
2810,JAMNOLA,Tourist attraction,4.7,1352.0,"Tourist attraction, Art museum, Cultural center","JAMNOLA, 2832 Royal St, New Orleans, LA 70117",New-orleans,USA,LA,,Entertainment,6354.400000000001,4.46,"Asheville, Baton-rouge, Lafayette, Los-angeles, New-orleans, Shreveport",Tourist Attraction,New-Orleans
2811,Longue Vue House & Gardens,Garden,4.7,683.0,"Garden, Art museum, Gift shop, Historical place, Historical landmark, Tourist attraction","Longue Vue House & Gardens, 7 Bamboo Rd, New Orleans, LA 70124",New-orleans,USA,LA,,Nature,3210.1,4.61,"Asheville, Baton-rouge, Lafayette, Los-angeles, New-orleans, Shreveport",Garden,New-Orleans
2812,The Historic New Orleans Collection,History museum,4.8,622.0,"History museum, Tourist attraction","The Historic New Orleans Collection, 520 Royal St, New Orleans, LA 70130",New-orleans,USA,LA,,Cultural,2985.6,4.59,"Asheville, Baton-rouge, Lafayette, Los-angeles, New-orleans, Shreveport",History Museum,New-Orleans
2813,Mardi Gras Museum of Costumes & Culture,Museum,4.6,580.0,"Museum, Tourist attraction","Mardi Gras Museum of Costumes & Culture, 318 N Rampart St, New Orleans, LA 70112",New-orleans,USA,LA,,Cultural,2668.0,4.59,"Asheville, Baton-rouge, Lafayette, Los-angeles, New-orleans, Shreveport",Museum,New-Orleans
2814,Coliseum Square Park,Park,4.5,560.0,"Park, Tourist attraction","Coliseum Square Park, 1708 Coliseum St, New Orleans, LA 70130",New-orleans,USA,LA,,Nature,2520.0,4.61,"Asheville, Baton-rouge, Lafayette, Los-angeles, New-orleans, Shreveport",Park,New-Orleans
2815,"Bloody Mary's Tours, Haunted Museum & Voodoo Shop",Tourist attraction,4.4,442.0,"Tourist attraction, Event venue, Fortune telling services, Gift shop, Haunted house, Historical landmark, Museum, Psychic, Spiritist center, Wedding venue","Bloody Mary's Tours, Haunted Museum & Voodoo Shop, 826 & 828 N Rampart St, New Orleans, LA 70116",New-orleans,USA,LA,,Entertainment,1944.8,4.46,"Asheville, Baton-rouge, Lafayette, Los-angeles, New-orleans, Shreveport",Tourist Attraction,New-Orleans
2816,Hermann-Grima House,History museum,4.7,415.0,"History museum, Gift shop, Historical landmark, Museum, Scenic spot, Souvenir store, Tourist attraction","Hermann-Grima House, 820 St Louis St, New Orleans, LA 70112",New-orleans,USA,LA,,Cultural,1950.5,4.59,"Asheville, Baton-rouge, Lafayette, Los-angeles, New-orleans, Shreveport",History Museum,New-Orleans
2817,Vue Orleans,Observatory,4.7,359.0,"Observatory, Cultural center, Tourist attraction","Vue Orleans, 2 Canal St, New Orleans, LA 70130",New-orleans,USA,LA,,Nature,1687.3,4.61,"Asheville, Baton-rouge, Lafayette, Los-angeles, New-orleans, Shreveport",Observatory,New-Orleans
2818,Backstreet Cultural Museum,Museum,4.7,300.0,"Museum, Tourist attraction","Backstreet Cultural Museum, 1531 St Philip St, New Orleans, LA 70116",New-orleans,USA,LA,,Cultural,1410.0,4.59,"Asheville, Baton-rouge, Lafayette, Los-angeles, New-orleans, Shreveport",Museum,New-Orleans
2819,1850 House Museum & Gift Shop,Museum,4.4,297.0,"Museum, Gift shop, Tour operator, Tourist attraction","1850 House Museum & Gift Shop, 523 St Ann St., New Orleans, LA 70116",New-orleans,USA,LA,,Cultural,1306.8000000000002,4.59,"Asheville, Baton-rouge, Lafayette, Los-angeles, New-orleans, Shreveport",Museum,New-Orleans
2820,New Canal Lighthouse,Museum,4.6,248.0,"Museum, Event venue, Tourist attraction","New Canal Lighthouse, 8001 Lakeshore Dr, New Orleans, LA 70124",New-orleans,USA,LA,,Cultural,1140.8,4.59,"Asheville, Baton-rouge, Lafayette, Los-angeles, New-orleans, Shreveport",Museum,New-Orleans
